Date,Last Stream start time,Last Stream length (mins),Last Watch time (mins),Last Avg viewers,Last Peak viewers,Last Game,Stream
2021-11-01,2021-10-31 01:02:00,538.0,951722.0,1769.0,2333.0,Path of Exile,1
2021-11-02,2021-11-01 00:45:00,510.0,956250.0,1875.0,2137.0,Path of Exile,1
2021-11-03,2021-11-02 01:32:00,553.0,1160747.0,2099.0,2636.0,Path of Exile,1
2021-11-04,2021-11-03 01:36:00,489.0,813696.0,1664.0,2193.0,Path of Exile,1
2021-11-05,2021-11-04 02:01:00,494.0,1060124.0,2146.0,2606.0,Path of Exile,1
2021-11-06,2021-11-05 01:21:00,489.0,761373.0,1557.0,1998.0,Path of Exile,1
2021-11-07,2021-11-06 01:10:00,530.0,1092860.0,2062.0,2788.0,Path of Exile,1
2021-11-08,2021-11-07 01:37:00,623.0,979979.0,1573.0,2327.0,Path of Exile,1
2021-11-09,2021-11-08 02:23:00,577.0,1113610.0,1930.0,2596.0,Path of Exile,1
2021-11-10,2021-11-09 00:35:00,520.0,940680.0,1809.0,2465.0,Path of Exile,1
2021-11-11,2021-11-10 05:08:00,352.0,694848.0,1974.0,2552.0,Path of Exile,1
2021-11-12,2021-11-11 02:48:00,492.0,869856.0,1768.0,2096.0,Path of Exile,1
2021-11-13,2021-11-12 07:17:00,163.0,230482.0,1414.0,1940.0,Path of Exile,1
2021-11-14,2021-11-13 02:32:00,523.0,1033448.0,1976.0,2826.0,Path of Exile,1
2021-11-15,2021-11-14 03:17:00,463.0,873681.0,1887.0,2343.0,Path of Exile,1
2021-11-16,2021-11-15 02:44:00,481.0,721981.0,1501.0,2100.0,Path of Exile,1
2021-11-17,2021-11-16 05:11:00,349.0,531178.0,1522.0,2008.0,Path of Exile,1
2021-11-18,2021-11-17 02:50:00,475.0,788975.0,1661.0,2697.0,Path of Exile,1
2021-11-19,2021-11-18 04:57:00,513.0,702297.0,1369.0,1762.0,"Path of Exile,Blue Archive",1
2021-11-20,2021-11-19 03:10:00,470.0,802760.0,1708.0,3251.0,Path of Exile,1
2021-11-21,2021-11-20 02:55:00,440.0,519640.0,1181.0,1765.0,Path of Exile,1
2021-11-22,2021-11-21 03:52:00,653.0,1005620.0,1540.0,2101.0,"Path of Exile,Blue Archive",1
2021-11-23,2021-11-21 03:52:00,653.0,1005620.0,1540.0,2101.0,"Path of Exile,Blue Archive",0
2021-11-24,2021-11-22 03:01:00,479.0,741971.0,1549.0,2009.0,Path of Exile,1
2021-11-25,2021-11-24 01:44:00,496.0,636368.0,1283.0,2504.0,Path of Exile,1
2021-11-26,2021-11-24 01:44:00,496.0,636368.0,1283.0,2504.0,Path of Exile,0
2021-11-27,2021-11-25 02:29:00,406.0,619556.0,1526.0,2599.0,"Path of Exile,Blue Archive",1
2021-11-28,2021-11-27 01:58:00,662.0,758652.0,1146.0,1629.0,Path of Exile,1
2021-11-29,2021-11-28 02:38:00,577.0,874155.0,1515.0,2069.0,"Path of Exile,Blue Archive",1
2021-11-30,2021-11-29 02:47:00,718.0,936272.0,1304.0,1804.0,"Blue Archive,Path of Exile",1
2021-12-01,2021-11-30 02:46:00,509.0,610291.0,1199.0,1883.0,"Path of Exile,Blue Archive",1
2021-12-02,2021-12-01 03:06:00,459.0,650403.0,1417.0,2002.0,Path of Exile,1
2021-12-03,2021-12-02 02:33:00,447.0,521649.0,1167.0,1971.0,Path of Exile,0
2021-12-04,2021-12-02 23:14:00,601.0,679731.0,1131.0,1893.0,"Path of Exile,Blue Archive",1
2021-12-05,2021-12-04 02:26:00,589.0,1041941.0,1769.0,2440.0,Path of Exile,1
2021-12-06,2021-12-05 02:13:00,527.0,617644.0,1172.0,2091.0,Path of Exile,1
2021-12-07,2021-12-06 02:40:00,380.0,403940.0,1063.0,2621.0,Path of Exile,1
2021-12-08,2021-12-07 02:43:00,497.0,576520.0,1160.0,1693.0,Path of Exile,1
2021-12-09,2021-12-08 02:14:00,541.0,745498.0,1378.0,2070.0,Path of Exile,1
2021-12-10,2021-12-09 02:50:00,520.0,710320.0,1366.0,2030.0,Path of Exile,1
2021-12-11,2021-12-10 02:21:00,519.0,593217.0,1143.0,1828.0,Path of Exile,1
2021-12-12,2021-12-11 09:57:00,258.0,226524.0,878.0,1361.0,Path of Exile,1
2021-12-13,2021-12-12 02:35:00,595.0,527765.0,887.0,1250.0,Path of Exile,1
2021-12-14,2021-12-13 03:01:00,569.0,504703.0,887.0,1271.0,Path of Exile,1
2021-12-15,2021-12-14 02:51:00,489.0,298290.0,610.0,1080.0,"Path of Exile,Blue Archive",1
2021-12-16,2021-12-15 13:06:00,39.0,10764.0,276.0,351.0,Just Chatting,1
2021-12-17,2021-12-16 02:36:00,399.0,248577.0,623.0,898.0,"Path of Exile,Blue Archive",1
2021-12-18,2021-12-17 02:36:00,504.0,511560.0,1015.0,1491.0,Path of Exile,1
2021-12-19,2021-12-18 03:31:00,539.0,854854.0,1586.0,2326.0,Path of Exile,1
2021-12-20,2021-12-19 02:37:00,548.0,564988.0,1031.0,1528.0,Path of Exile,1
2021-12-21,2021-12-20 02:24:00,816.0,1014288.0,1243.0,1727.0,Path of Exile,1
2021-12-22,2021-12-21 03:21:00,669.0,697767.0,1043.0,1331.0,Path of Exile,1
2021-12-23,2021-12-22 02:48:00,672.0,790944.0,1177.0,1624.0,Path of Exile,1
2021-12-24,2021-12-23 02:46:00,509.0,448938.0,882.0,1325.0,Path of Exile,1
2021-12-25,2021-12-24 02:49:00,476.0,438872.0,922.0,2201.0,Path of Exile,1
2021-12-26,2021-12-25 08:25:00,515.0,605640.0,1176.0,1572.0,Path of Exile,1
2021-12-27,2021-12-26 03:04:00,431.0,278857.0,647.0,989.0,"Path of Exile,Last Epoch",1
2021-12-28,2021-12-27 02:49:00,206.0,110622.0,537.0,837.0,Path of Exile,1
2021-12-29,2021-12-28 06:49:00,371.0,197743.0,533.0,719.0,Last Epoch,1
2021-12-30,2021-12-29 12:40:00,95.0,28500.0,300.0,541.0,FINAL FANTASY XIV ONLINE,1
2021-12-31,2021-12-30 03:11:00,469.0,150549.0,321.0,466.0,FINAL FANTASY XIV ONLINE,1
2022-01-01,2021-12-31 04:37:00,398.0,129748.0,326.0,548.0,"FINAL FANTASY XIV ONLINE,Propnight",1
2022-01-02,2022-01-01 03:26:00,514.0,161910.0,315.0,500.0,FINAL FANTASY XIV ONLINE,1
2022-01-03,2022-01-02 04:34:00,566.0,239418.0,423.0,634.0,FINAL FANTASY XIV ONLINE,1
2022-01-04,2022-01-03 04:25:00,515.0,199820.0,388.0,539.0,FINAL FANTASY XIV ONLINE,1
2022-01-05,2022-01-04 08:42:00,768.0,205824.0,268.0,391.0,FINAL FANTASY XIV ONLINE,1
2022-01-06,2022-01-05 15:31:00,509.0,104854.0,206.0,289.0,FINAL FANTASY XIV ONLINE,1
2022-01-07,2022-01-05 15:31:00,509.0,104854.0,206.0,289.0,FINAL FANTASY XIV ONLINE,0
2022-01-08,2022-01-06 13:57:00,738.0,169740.0,230.0,315.0,FINAL FANTASY XIV ONLINE,1
2022-01-09,2022-01-08 02:20:00,775.0,475850.0,614.0,1259.0,FINAL FANTASY XIV ONLINE,1
2022-01-10,2022-01-09 23:25:00,500.0,115500.0,231.0,322.0,FINAL FANTASY XIV ONLINE,1
2022-01-11,2022-01-09 23:25:00,500.0,115500.0,231.0,322.0,FINAL FANTASY XIV ONLINE,0
2022-01-12,2022-01-10 23:29:00,691.0,175514.0,254.0,466.0,"FINAL FANTASY XIV ONLINE,Blue Archive",1
2022-01-13,2022-01-12 11:43:00,572.0,96668.0,169.0,240.0,FINAL FANTASY XIV ONLINE,1
2022-01-14,2022-01-13 12:36:00,609.0,102312.0,168.0,232.0,FINAL FANTASY XIV ONLINE,1
2022-01-15,2022-01-13 12:36:00,609.0,102312.0,168.0,232.0,FINAL FANTASY XIV ONLINE,0
2022-01-16,2022-01-13 12:36:00,609.0,102312.0,168.0,232.0,FINAL FANTASY XIV ONLINE,0
2022-01-17,2022-01-14 13:23:00,352.0,55616.0,158.0,238.0,FINAL FANTASY XIV ONLINE,1
2022-01-18,2022-01-14 13:23:00,352.0,55616.0,158.0,238.0,FINAL FANTASY XIV ONLINE,0
2022-01-19,2022-01-17 00:15:00,555.0,170385.0,307.0,732.0,FINAL FANTASY XIV ONLINE,1
2022-01-20,2022-01-19 01:44:00,646.0,170544.0,264.0,698.0,FINAL FANTASY XIV ONLINE,0
2022-01-21,2022-01-19 23:07:00,458.0,89768.0,196.0,319.0,FINAL FANTASY XIV ONLINE,1
2022-01-22,2022-01-21 02:36:00,639.0,226845.0,355.0,510.0,"Monster Hunter Rise,God of War,Just Chatting",1
2022-01-23,2022-01-22 03:27:00,483.0,266133.0,551.0,840.0,"UNDECEMBER,Just Chatting",1
2022-01-24,2022-01-23 05:02:00,478.0,280108.0,586.0,1258.0,"Just Chatting,Dead Cells",1
2022-01-25,2022-01-24 02:35:00,490.0,195020.0,398.0,660.0,"Just Chatting,Dead Cells",1
2022-01-26,2022-01-24 02:35:00,490.0,195020.0,398.0,660.0,"Just Chatting,Dead Cells",0
2022-01-27,2022-01-25 02:27:00,498.0,310254.0,623.0,1102.0,"Path of Exile,Blue Archive",1
2022-01-28,2022-01-27 01:42:00,603.0,384111.0,637.0,853.0,"Path of Exile,Just Chatting",1
2022-01-29,2022-01-28 01:35:00,475.0,522025.0,1099.0,1448.0,"Path of Exile,Just Chatting",1
2022-01-30,2022-01-29 02:23:00,547.0,487924.0,892.0,1267.0,Path of Exile,1
2022-01-31,2022-01-30 02:16:00,449.0,338097.0,753.0,931.0,Lost Ark,1
2022-02-01,2022-01-31 02:19:00,536.0,421296.0,786.0,1706.0,Lost Ark,1
2022-02-02,2022-02-01 02:04:00,641.0,703177.0,1097.0,1474.0,"Path of Exile,Lost Ark",1
2022-02-03,2022-02-02 02:11:00,439.0,505728.0,1152.0,1751.0,Path of Exile,1
2022-02-04,2022-02-03 02:39:00,561.0,603075.0,1075.0,1421.0,"Path of Exile,Lost Ark",1
2022-02-05,2022-02-04 17:14:00,856.0,980976.0,1146.0,1458.0,Path of Exile,1
2022-02-06,2022-02-04 17:14:00,856.0,980976.0,1146.0,1458.0,Path of Exile,0
2022-02-07,2022-02-05 23:15:00,810.0,903150.0,1115.0,1673.0,Path of Exile,1
2022-02-08,2022-02-07 02:48:00,342.0,283176.0,828.0,1182.0,Path of Exile,1
2022-02-09,2022-02-08 15:15:00,990.0,765270.0,773.0,1387.0,Lost Ark,1
2022-02-10,2022-02-08 15:15:00,990.0,765270.0,773.0,1387.0,Lost Ark,0
2022-02-11,2022-02-09 20:35:00,1480.0,1121840.0,758.0,1119.0,Lost Ark,1
2022-02-12,2022-02-11 16:22:00,23.0,2783.0,121.0,206.0,Lost Ark,1
2022-02-13,2022-02-12 00:01:00,779.0,634106.0,814.0,1239.0,Lost Ark,1
2022-02-14,2022-02-13 00:12:00,963.0,1581246.0,1642.0,3944.0,"Lost Ark,Blue Archive",1
2022-02-15,2022-02-14 01:57:00,738.0,684126.0,927.0,1434.0,Lost Ark,1
2022-02-16,2022-02-15 13:29:00,511.0,355656.0,696.0,868.0,Lost Ark,1
2022-02-17,2022-02-16 08:37:00,368.0,497168.0,1351.0,1870.0,Lost Ark,1
2022-02-18,2022-02-17 01:26:00,1414.0,1637412.0,1158.0,1963.0,Lost Ark,1
2022-02-19,2022-02-18 07:36:00,804.0,587724.0,731.0,987.0,Lost Ark,1
2022-02-20,2022-02-19 04:44:00,781.0,948134.0,1214.0,2647.0,Lost Ark,1
2022-02-21,2022-02-20 04:50:00,880.0,887920.0,1009.0,1278.0,Lost Ark,1
2022-02-22,2022-02-21 04:50:00,880.0,1376320.0,1564.0,3045.0,Lost Ark,1
2022-02-23,2022-02-21 04:50:00,880.0,1376320.0,1564.0,3045.0,Lost Ark,0
2022-02-24,2022-02-22 03:46:00,734.0,561510.0,765.0,981.0,"Lost Ark,Blue Archive",1
2022-02-25,2022-02-24 10:45:00,345.0,184575.0,535.0,756.0,Lost Ark,1
2022-02-26,2022-02-25 03:41:00,874.0,831174.0,951.0,2080.0,Lost Ark,1
2022-02-27,2022-02-26 06:01:00,854.0,840336.0,984.0,1213.0,Lost Ark,1
2022-02-28,2022-02-27 05:40:00,680.0,718080.0,1056.0,1414.0,Lost Ark,1
2022-03-01,2022-02-28 06:38:00,592.0,400192.0,676.0,828.0,Lost Ark,1
2022-03-02,2022-03-01 04:47:00,643.0,432096.0,672.0,829.0,Lost Ark,1
2022-03-03,2022-03-02 06:45:00,660.0,878460.0,1331.0,2122.0,Lost Ark,1
2022-03-04,2022-03-03 06:55:00,740.0,544640.0,736.0,931.0,Lost Ark,1
2022-03-05,2022-03-03 06:55:00,740.0,544640.0,736.0,931.0,Lost Ark,0
2022-03-06,2022-03-04 10:14:00,1036.0,706552.0,682.0,891.0,Lost Ark,1
2022-03-07,2022-03-06 03:07:00,818.0,809820.0,990.0,1722.0,Lost Ark,1
2022-03-08,2022-03-07 04:43:00,782.0,764014.0,977.0,3890.0,Lost Ark,1
2022-03-09,2022-03-08 04:42:00,993.0,867882.0,874.0,2016.0,"Lost Ark,Blue Archive",1
2022-03-10,2022-03-09 05:47:00,613.0,557217.0,909.0,1555.0,Lost Ark,1
2022-03-11,2022-03-10 11:57:00,858.0,603174.0,703.0,976.0,Lost Ark,1
2022-03-12,2022-03-10 11:57:00,858.0,603174.0,703.0,976.0,Lost Ark,0
2022-03-13,2022-03-11 12:26:00,739.0,390192.0,528.0,710.0,Lost Ark,1
2022-03-14,2022-03-13 01:15:00,690.0,396750.0,575.0,704.0,Lost Ark,1
2022-03-15,2022-03-13 01:15:00,690.0,396750.0,575.0,704.0,Lost Ark,0
2022-03-16,2022-03-14 10:09:00,606.0,408444.0,674.0,855.0,Lost Ark,1
2022-03-17,2022-03-16 02:43:00,647.0,478133.0,739.0,1587.0,Lost Ark,1
2022-03-18,2022-03-17 01:44:00,286.0,126412.0,442.0,724.0,Lost Ark,1
2022-03-19,2022-03-18 00:39:00,606.0,338754.0,559.0,767.0,Lost Ark,1
2022-03-20,2022-03-19 00:14:00,796.0,478396.0,601.0,948.0,Lost Ark,1
2022-03-21,2022-03-20 01:55:00,830.0,787670.0,949.0,1850.0,Lost Ark,1
2022-03-22,2022-03-21 02:39:00,576.0,301824.0,524.0,755.0,Lost Ark,1
2022-03-23,2022-03-22 03:35:00,790.0,384730.0,487.0,628.0,"Lost Ark,Blue Archive",1
2022-03-24,2022-03-23 05:06:00,624.0,318864.0,511.0,723.0,Lost Ark,1
2022-03-25,2022-03-23 05:06:00,624.0,318864.0,511.0,723.0,Lost Ark,0
2022-03-26,2022-03-24 19:28:00,752.0,394048.0,524.0,1334.0,Lost Ark,1
2022-03-27,2022-03-26 01:13:00,527.0,237677.0,451.0,653.0,Lost Ark,1
2022-03-28,2022-03-27 00:48:00,537.0,278703.0,519.0,967.0,Lost Ark,1
2022-03-29,2022-03-28 00:46:00,554.0,289742.0,523.0,739.0,Lost Ark,1
2022-03-30,2022-03-29 01:14:00,586.0,266630.0,455.0,614.0,Lost Ark,1
2022-03-31,2022-03-30 00:58:00,557.0,225028.0,404.0,598.0,Lost Ark,1
2022-04-01,2022-03-31 01:55:00,320.0,108800.0,340.0,513.0,Lost Ark,0
2022-04-02,2022-03-31 14:36:00,474.0,168270.0,355.0,707.0,Lost Ark,1
2022-04-03,2022-04-02 21:39:00,516.0,205884.0,399.0,531.0,Lost Ark,1
2022-04-04,2022-04-02 21:39:00,516.0,205884.0,399.0,531.0,Lost Ark,0
2022-04-05,2022-04-03 19:51:00,714.0,374136.0,524.0,1886.0,Lost Ark,1
2022-04-06,2022-04-05 01:48:00,582.0,207192.0,356.0,465.0,Lost Ark,0
2022-04-07,2022-04-05 23:53:00,472.0,222312.0,471.0,694.0,Lost Ark,1
2022-04-08,2022-04-07 22:06:00,594.0,234630.0,395.0,587.0,Lost Ark,1
2022-04-09,2022-04-07 22:06:00,594.0,234630.0,395.0,587.0,Lost Ark,0
2022-04-10,2022-04-08 22:48:00,612.0,251532.0,411.0,633.0,Lost Ark,1
2022-04-11,2022-04-10 01:04:00,626.0,386242.0,617.0,1255.0,Lost Ark,0
2022-04-12,2022-04-10 22:00:00,540.0,219240.0,406.0,539.0,Lost Ark,1
2022-04-13,2022-04-12 01:08:00,517.0,344322.0,666.0,1704.0,Lost Ark,1
2022-04-14,2022-04-13 01:26:00,469.0,186193.0,397.0,545.0,Lost Ark,1
2022-04-15,2022-04-14 01:56:00,304.0,115520.0,380.0,686.0,Lost Ark,1
2022-04-16,2022-04-15 01:00:00,690.0,309810.0,449.0,571.0,Lost Ark,1
2022-04-17,2022-04-16 01:19:00,506.0,414414.0,819.0,3053.0,Lost Ark,1
2022-04-18,2022-04-17 01:28:00,482.0,268474.0,557.0,955.0,Lost Ark,1
2022-04-19,2022-04-18 01:19:00,656.0,337184.0,514.0,882.0,Lost Ark,1
2022-04-20,2022-04-19 05:15:00,450.0,321750.0,715.0,1258.0,Lost Ark,1
2022-04-21,2022-04-20 01:00:00,390.0,144690.0,371.0,595.0,Lost Ark,1
2022-04-22,2022-04-21 11:51:00,579.0,206703.0,357.0,488.0,Lost Ark,1
2022-04-23,2022-04-22 01:59:00,556.0,272440.0,490.0,692.0,Lost Ark,1
2022-04-24,2022-04-23 01:29:00,676.0,450216.0,666.0,1193.0,Lost Ark,1
2022-04-25,2022-04-24 01:21:00,579.0,533259.0,921.0,2087.0,Lost Ark,1
2022-04-26,2022-04-25 01:22:00,533.0,272363.0,511.0,1052.0,Lost Ark,1
2022-04-27,2022-04-26 01:27:00,438.0,176076.0,402.0,710.0,Lost Ark,1
2022-04-28,2022-04-27 04:50:00,280.0,99680.0,356.0,526.0,Lost Ark,1
2022-04-29,2022-04-28 09:02:00,118.0,51330.0,435.0,733.0,Lost Ark,1
2022-04-30,2022-04-29 06:54:00,426.0,201072.0,472.0,625.0,Lost Ark,1
2022-05-01,2022-04-30 01:57:00,828.0,406548.0,491.0,654.0,Lost Ark,1
2022-05-02,2022-05-01 03:11:00,664.0,343952.0,518.0,733.0,Lost Ark,1
2022-05-03,2022-05-02 04:09:00,531.0,439137.0,827.0,2996.0,Lost Ark,1
2022-05-04,2022-05-03 02:34:00,581.0,314902.0,542.0,1009.0,Lost Ark,1
2022-05-05,2022-05-04 10:15:00,585.0,255645.0,437.0,574.0,Lost Ark,1
2022-05-06,2022-05-05 08:24:00,531.0,313821.0,591.0,1003.0,Lost Ark,1
2022-05-07,2022-05-06 10:34:00,641.0,407676.0,636.0,955.0,"Path of Exile,Lost Ark",1
2022-05-08,2022-05-07 11:01:00,614.0,567950.0,925.0,3089.0,Lost Ark,1
2022-05-09,2022-05-08 12:58:00,602.0,340732.0,566.0,856.0,Lost Ark,1
2022-05-10,2022-05-09 12:27:00,543.0,248151.0,457.0,703.0,Lost Ark,1
2022-05-11,2022-05-09 12:27:00,543.0,248151.0,457.0,703.0,Lost Ark,0
2022-05-12,2022-05-10 16:06:00,564.0,205860.0,365.0,533.0,Lost Ark,1
2022-05-13,2022-05-12 01:04:00,686.0,428750.0,625.0,1094.0,Lost Ark,1
2022-05-14,2022-05-13 01:13:00,407.0,140415.0,345.0,493.0,Lost Ark,0
2022-05-15,2022-05-13 22:07:00,698.0,342020.0,490.0,1086.0,"Path of Exile,Lost Ark",1
2022-05-16,2022-05-15 00:57:00,663.0,279123.0,421.0,580.0,Lost Ark,0
2022-05-17,2022-05-15 23:22:00,563.0,240401.0,427.0,755.0,Lost Ark,1
2022-05-18,2022-05-17 01:41:00,604.0,263344.0,436.0,700.0,Lost Ark,1
2022-05-19,2022-05-18 22:38:00,307.0,440545.0,1435.0,2951.0,Lost Ark,1
2022-05-20,2022-05-19 08:34:00,866.0,941342.0,1087.0,1753.0,Lost Ark,1
2022-05-21,2022-05-20 11:43:00,932.0,1258200.0,1350.0,3489.0,Lost Ark,1
2022-05-22,2022-05-20 11:43:00,932.0,1258200.0,1350.0,3489.0,Lost Ark,0
2022-05-23,2022-05-21 20:39:00,711.0,640611.0,901.0,1317.0,Lost Ark,1
2022-05-24,2022-05-23 00:31:00,629.0,345950.0,550.0,756.0,Lost Ark,0
2022-05-25,2022-05-23 22:38:00,532.0,306432.0,576.0,1758.0,Lost Ark,1
2022-05-26,2022-05-25 01:07:00,683.0,289592.0,424.0,604.0,Lost Ark,1
2022-05-27,2022-05-26 18:42:00,858.0,366366.0,427.0,736.0,Lost Ark,1
2022-05-28,2022-05-27 21:49:00,791.0,394709.0,499.0,766.0,Lost Ark,1
2022-05-29,2022-05-27 21:49:00,791.0,394709.0,499.0,766.0,Lost Ark,0
2022-05-30,2022-05-28 22:29:00,706.0,518910.0,735.0,1671.0,Lost Ark,1
2022-05-31,2022-05-30 03:34:00,596.0,420180.0,705.0,1026.0,Lost Ark,1
2022-06-01,2022-05-31 01:23:00,622.0,592766.0,953.0,1481.0,Lost Ark,1
2022-06-02,2022-06-01 01:35:00,625.0,335625.0,537.0,791.0,Lost Ark,1
2022-06-03,2022-06-02 18:17:00,643.0,591560.0,920.0,5407.0,Lost Ark,1
2022-06-04,2022-06-03 22:38:00,307.0,141834.0,462.0,620.0,Lost Ark,1
2022-06-05,2022-06-04 22:55:00,605.0,480975.0,795.0,1800.0,Lost Ark,1
2022-06-06,2022-06-04 22:55:00,605.0,480975.0,795.0,1800.0,Lost Ark,0
2022-06-07,2022-06-05 22:49:00,491.0,516532.0,1052.0,2519.0,Lost Ark,1
2022-06-08,2022-06-07 01:28:00,512.0,407040.0,795.0,1217.0,Lost Ark,1
2022-06-09,2022-06-08 01:06:00,534.0,279816.0,524.0,709.0,Lost Ark,1
2022-06-10,2022-06-09 10:00:00,240.0,103200.0,430.0,569.0,Lost Ark,1
2022-06-11,2022-06-10 23:09:00,726.0,449394.0,619.0,822.0,Lost Ark,1
2022-06-12,2022-06-11 23:10:00,650.0,421850.0,649.0,999.0,Lost Ark,1
2022-06-13,2022-06-11 23:10:00,650.0,421850.0,649.0,999.0,Lost Ark,0
2022-06-14,2022-06-12 23:50:00,550.0,336600.0,612.0,1112.0,Lost Ark,1
2022-06-15,2022-06-12 23:50:00,550.0,336600.0,612.0,1112.0,Lost Ark,0
2022-06-16,2022-06-14 01:57:00,333.0,173493.0,521.0,830.0,Lost Ark,1
2022-06-17,2022-06-16 20:40:00,500.0,233000.0,466.0,658.0,Lost Ark,1
2022-06-18,2022-06-17 22:17:00,628.0,402548.0,641.0,1560.0,Lost Ark,1
2022-06-19,2022-06-18 22:33:00,462.0,269808.0,584.0,715.0,Lost Ark,1
2022-06-20,2022-06-18 22:33:00,462.0,269808.0,584.0,715.0,Lost Ark,0
2022-06-21,2022-06-19 22:50:00,430.0,433010.0,1007.0,1483.0,Lost Ark,1
2022-06-22,2022-06-21 01:21:00,414.0,247572.0,598.0,1410.0,Lost Ark,1
2022-06-23,2022-06-22 01:08:00,442.0,221000.0,500.0,786.0,Lost Ark,1
2022-06-24,2022-06-23 12:23:00,292.0,141912.0,486.0,615.0,Lost Ark,1
2022-06-25,2022-06-24 01:27:00,348.0,366096.0,1052.0,2351.0,Lost Ark,1
2022-06-26,2022-06-25 07:34:00,446.0,381776.0,856.0,3828.0,Lost Ark,1
2022-06-27,2022-06-26 05:47:00,373.0,307725.0,825.0,1332.0,Lost Ark,1
2022-06-28,2022-06-27 04:39:00,441.0,234612.0,532.0,1104.0,Lost Ark,1
2022-06-29,2022-06-28 09:15:00,405.0,187110.0,462.0,574.0,Lost Ark,1
2022-06-30,2022-06-29 05:51:00,399.0,179550.0,450.0,723.0,Lost Ark,1
2022-07-01,2022-06-30 11:14:00,1156.0,1205708.0,1043.0,6365.0,Lost Ark,1
2022-07-02,2022-06-30 11:14:00,1156.0,1205708.0,1043.0,6365.0,Lost Ark,0
2022-07-03,2022-07-01 18:39:00,711.0,483480.0,680.0,884.0,Lost Ark,1
2022-07-04,2022-07-03 01:01:00,764.0,591336.0,774.0,1092.0,Lost Ark,0
2022-07-05,2022-07-03 23:07:00,863.0,895794.0,1038.0,2664.0,Lost Ark,1
2022-07-06,2022-07-05 05:53:00,1027.0,845221.0,823.0,1723.0,Lost Ark,1
2022-07-07,2022-07-05 05:53:00,1027.0,845221.0,823.0,1723.0,Lost Ark,0
2022-07-08,2022-07-06 19:17:00,823.0,939866.0,1142.0,3196.0,Lost Ark,1
2022-07-09,2022-07-08 02:24:00,711.0,907947.0,1277.0,2723.0,Lost Ark,1
2022-07-10,2022-07-09 02:18:00,477.0,328176.0,688.0,1255.0,Lost Ark,0
2022-07-11,2022-07-09 02:18:00,477.0,328176.0,688.0,1255.0,Lost Ark,0
2022-07-12,2022-07-09 20:33:00,582.0,433008.0,744.0,962.0,Lost Ark,1
2022-07-13,2022-07-12 20:58:00,407.0,304436.0,748.0,1356.0,Lost Ark,1
2022-07-14,2022-07-13 11:32:00,463.0,330119.0,713.0,1072.0,Lost Ark,1
2022-07-15,2022-07-14 17:19:00,386.0,234688.0,608.0,1429.0,Lost Ark,1
2022-07-16,2022-07-15 23:03:00,567.0,440559.0,777.0,1517.0,Lost Ark,1
2022-07-17,2022-07-16 23:11:00,619.0,412254.0,666.0,838.0,Lost Ark,1
2022-07-18,2022-07-16 23:11:00,619.0,412254.0,666.0,838.0,Lost Ark,0
2022-07-19,2022-07-17 22:43:00,587.0,457860.0,780.0,1450.0,Lost Ark,1
2022-07-20,2022-07-19 01:14:00,466.0,317812.0,682.0,1142.0,Lost Ark,1
2022-07-21,2022-07-20 13:00:00,690.0,420210.0,609.0,837.0,Lost Ark,1
2022-07-22,2022-07-21 02:53:00,367.0,267176.0,728.0,1129.0,Lost Ark,0
2022-07-23,2022-07-21 20:31:00,704.0,599104.0,851.0,1889.0,Lost Ark,1
2022-07-24,2022-07-23 01:28:00,557.0,857780.0,1540.0,3345.0,Lost Ark,0
2022-07-25,2022-07-23 21:34:00,581.0,414834.0,714.0,1214.0,Lost Ark,1
2022-07-26,2022-07-25 00:09:00,546.0,453180.0,830.0,2339.0,Lost Ark,1
2022-07-27,2022-07-26 01:54:00,666.0,663336.0,996.0,1948.0,Lost Ark,1
2022-07-28,2022-07-27 00:42:00,348.0,137808.0,396.0,545.0,Lost Ark,1
2022-07-29,2022-07-28 01:41:00,574.0,362768.0,632.0,978.0,Lost Ark,1
2022-07-30,2022-07-29 22:54:00,576.0,704448.0,1223.0,3949.0,Lost Ark,1
2022-07-31,2022-07-30 22:26:00,589.0,586055.0,995.0,2159.0,Lost Ark,1
2022-08-01,2022-07-31 23:56:00,514.0,389098.0,757.0,1289.0,Lost Ark,1
2022-08-02,2022-08-01 14:28:00,302.0,338844.0,1122.0,1284.0,Lost Ark,1
2022-08-03,2022-08-02 02:38:00,487.0,649658.0,1334.0,5008.0,Lost Ark,1
